,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
1199,"Policman, Civilian Shot Dead",2/9/2013,Bunkure,,Kano,2.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201302010404.html,,,,,", Kano, Nigeria"
1218,Gunmen Torch Police Station,2/19/2013,Konduga,Konduga,Borno,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.ngrguardiannews.com/index.php?option=com_content&view=article&id=113964:gunmen-torch-police-station-kill-inspector-two-others&catid=1:national&Itemid=559,,,,,"Konduga, Borno, Nigeria"
1228,Boko Haram Attempt to Bomb Police Stateion,2/23/2013,Maiduguri,Maiduguri,Borno,17.0,Boko Haram,State Actor,,,,,,,,17.0,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201302251292.html,,,,,"Maiduguri, Borno, Nigeria"
1249,Bombings in Maiduguri Kill 6,2/28/2013,Maiduguri,Maiduguri,Borno,6.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,4.0,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201303010528.html,http://allafrica.com/stories/201303010152.html,http://allafrica.com/stories/201303010152.html,,,"Maiduguri, Borno, Nigeria"
1255,22 Boko Haram Killed,3/3/2013,Monguno,Monguno,Borno,22.0,,State Actor,,,,,,,,22.0,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.sbs.com.au/news/article/1742776/Twenty-Islamists-killed-in-Nigeria,http://blueprintng.com/2013/03/boko-haram-raids-army-barracks-kills-22/,,,,"Monguno, Borno, Nigeria"
1257,BH Kills 8,3/4/2013,Gwoza,Gwoza,Borno,8.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,7.0,,,,Gun,,,,,,Government Building,,,Bank,,,,http://news.yahoo.com/8-killed-northeast-nigeria-extremist-attack-140923889.html,,,,,"Gwoza, Borno, Nigeria"
1272,Prison Police Killed,3/13/2013,Warri,Warri,Delta,7.0,,,,Other Armed Actor,,,,,,,7.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/news-page/panic-delta-gunmen-invade-warri-seven-prison-warders-killed,http://nationalmirroronline.net/new/death-toll-rises-in-warri-prison-officials-attack/,,,,"Warri, Delta, Nigeria"
1273,Robbers Kill 2 at Lagos Airport,3/13/2013,,Lagos,Lagos,2.0,,,,,,Robber,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/news-page/armed-robbers-raid-departure-lounge-lagos-international-airport-killing-least-two-policeme,,,,,"Lagos, Lagos, Nigeria"
1300,Terror Attack Kills 28,3/22/2013,,Ganye,Adamawa,28.0,Boko Haram,,,,,,,,,2.0,2.0,,,,,,,,24.0,,,Bomb,Gun,,Suicide Bombing,,,,Government Building,,,,,Other,,http://allafrica.com/stories/201303250998.html,http://world.time.com/2013/03/24/120-inmates-freed-in-nigeria-attacks-25-die/,,,,"Ganye, Adamawa, Nigeria"
1305,BH rampage Kills Cop,3/25/2013,Bara,,Yobe,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,Bomb,Gun,,,Other,,,Government Building,,,,,,,http://www.naijahidi.org/reports/view/887,,,,,", Yobe, Nigeria"
1382,"Gunmen attack military, police stations in northern Nigeria",4/23/2013,Gashua,,Yobe,25.0,Boko Haram,State Actor,,,,,,,,20.0,5.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://news.xinhuanet.com/english/africa/2013-04/25/c_132339645.htm,http://premiumtimesng.com/news/131278-boko-haram-attacks-army-base-police-station-in-gashua-yobe.html?utm_source=rss&utm_medium=rss&utm_campaign=boko-haram-attacks-army-base-police-station-in-gashua-yobe,http://premiumtimesng.com/news/131469-25-killed-in-crossfire-between-nigeria-military-gunmen-in-northeastern-yobe-police.html?utm_source=rss&utm_medium=rss&utm_campaign=25-killed-in-crossfire-between-nigeria-military-gunmen-in-northeastern-yobe-police,,,", Yobe, Nigeria"
1386,Boko Haram Attacks Home Town Of Governor Nyako Of Adamawa State,4/25/2013,Mayo Balwa,,Adamawa,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://saharareporters.com/news-page/boko-haram-attacks-home-town-governor-nyako-adamawa-state,http://premiumtimesng.com/news/131449-breaking-gunmen-attack-prison-police-station-bank-in-adamawa.html?utm_source=rss&utm_medium=rss&utm_campaign=breaking-gunmen-attack-prison-police-station-bank-in-adamawa,http://www.naijahidi.org/reports/view/950,,,", Adamawa, Nigeria"
1401,"Gunmen in 50 Hilux vans destroy buildings, telecom masts in Borno",5/2/2013,Marte,Marte,Borno,,Boko Haram,,,,,,,,,,,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,School,Other,burned telecom,http://thenigerianoracle.com/2013/05/04/gunmen-in-50-hilux-vans-destroy-buildings-telecom-masts-in-borno/?utm_source=rss&utm_medium=rss&utm_campaign=gunmen-in-50-hilux-vans-destroy-buildings-telecom-masts-in-borno,,,,,"Marte, Borno, Nigeria"
1414,Nigerian Islamist raid in northeast town kills 55: military,5/7/2013,Bama,Bama,Borno,55.0,Boko Haram,State Actor,,,,,,,,13.0,38.0,,,,,,,,4.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.timesofoman.com/News/Article-15001.aspx,http://www.misna.org/en/other/borno-boko-haram-launceshes-series-of-coordinated-attacks-08-05-2013-813.html,,,,"Bama, Borno, Nigeria"
1419,"Angry youths invade police post in Niger State, kill two suspects",5/10/2013,Bangi,Mariga,Niger,2.0,,,,,,,Other,,,,0.0,,,,,,,,2.0,,,,,,,,,,Government Building,,,,,,,http://www.naijahidi.org/reports/view/967,,,,,"Mariga, Niger, Nigeria"
1426,"Multiple explosions, heavy gunshots in Maiduguri",5/12/2013,Maiduguri,Maiduguri,Borno,2.0,Boko Haram,,,,,,,,,,,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/133925-multiple-explosions-heavy-gunshots-in-maiduguri.html?utm_source=rss&utm_medium=rss&utm_campaign=multiple-explosions-heavy-gunshots-in-maiduguri,http://www.naijahidi.org/reports/view/969,http://premiumtimesng.com/news/134770-nigerian-military-to-continue-sambisa-forest-operation-after-killing-over-20-boko-haram-suspects-in-raid.html?utm_source=rss&utm_medium=rss&utm_campaign=nigerian-military-to-continue-sambisa-forest-operation-after-killing-over-20-boko-haram-suspects-in-raid,,,"Maiduguri, Borno, Nigeria"
1429,Hoodlums raze Rivers LG as police vacate premises,5/14/2013,,Obio,Rivers,0.0,,,Sectarian Actor,,,,,,,,,,,0.0,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/hoodlums-raze-rivers-lg-as-police-vacate-premises/,,,,,"Obio, Rivers, Nigeria"
1432,Attack in Katsina,5/16/2013,Daura,,Katsina,13.0,Boko Haram,State Actor,,,,,,,,10.0,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,Bank,,,,http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2013-05-17-Nigeria-Violence/id-f2b80253d5af436084227d2dce61003e,http://saharareporters.com/news-page/three-soldiers-10-boko-haram-militants-killed-daura-attack,,,,", Katsina, Nigeria"
1454,UNIUYO Shut as Four Students Die in Protest,6/12/2013,Uyo,,Akwa Ibom,4.0,,State Actor,,,,,,,,,,,,,,,,,4.0,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201306130590.html,,,,,", Akwa Ibom, Nigeria"
1460,"Seven Students, Two Teachers Killed in Yobe Attack",6/16/2013,Damaturu,,Yobe,13.0,Boko Haram,State Actor,,,,,,,,2.0,2.0,,,,,,,,9.0,,,,,,,,,,Government Building,,,,School,,,http://allafrica.com/stories/201306181101.html,http://allafrica.com/stories/201306180612.html,http://www.startribune.com/business/211942421.html,,,", Yobe, Nigeria"
1472,Scores freed in Nigeria jailbreak,6/30/2013,Azure,,Ondo,10.0,Boko Haram,,,,,,,,,,,,,,,,,,10.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.odt.co.nz/news/world/263102/scores-freed-nigeria-jailbreak,http://allafrica.com/stories/201307010974.html,http://sunnewsonline.com/new/cover/fleeing-robbers-kill-10-travellers/,,,", Ondo, Nigeria"
1477,JTF Kills 3 Boko Haram Suspects Disguised As Women in Maiduguri,7/3/2013,Maiduguri,Maiduguri,Borno,3.0,Boko Haram,State Actor,,,,,,,,3.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201307040647.html,,,,,"Maiduguri, Borno, Nigeria"
1479,"Boko Haram Attack Bank, Police State",7/5/2013,Karim,Karim Lamido,Taraba,3.0,Boko Haram,,,,,,,,,,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,Bank,,,,http://www.dailytimes.com.pk/default.asp?page=2013%5c07%5c07%5cstory_7-7-2013_pg4_15,http://premiumtimesng.com/news/140370-three-policemen-feared-killed-as-gunmen-attack-bank-police-station-in-taraba.html?utm_source=rss&utm_medium=rss&utm_campaign=three-policemen-feared-killed-as-gunmen-attack-bank-police-station-in-taraba,,,,"Karim Lamido, Taraba, Nigeria"
1492,Gunmen Kill Two Policemen in Kaduna,7/16/2013,Kaduna,,Kaduna,2.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201307180734.html,,,,,", Kaduna, Nigeria"
1499,"Gunmen attack police station, bank",7/22/2013,Darazo,,Bauchi,3.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,Bank,,,,http://sunnewsonline.com/new/cover/gunmen-attack-police-station-bank/,,,,,", Bauchi, Nigeria"
1520,Military Boko Haram Clash in Bama,8/4/2013,Bama,Bama,Borno,25.0,Boko Haram,State Actor,,,,,,,,17.0,7.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.channelafrica.org/portal/site/ChannelAfrica/menuitem.0440eb803775db47ee41ee41674daeb9/?vgnextoid=95ecbad7d7250410VgnVCM10000077d4ea9bRCRD&vgnextfmt=default,http://www.africareview.com/News/North+Nigeria+militant+attacks+kill+35/-/979180/1938780/-/iecdnfz/-/index.html,,,,"Bama, Borno, Nigeria"
1534,Police and military station attacked,8/15/2013,Damboa,Damboa,Borno,14.0,Boko Haram,,,,,,,,,,,,,,,,,,14.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.afriquejet.com/news/10518-nigeria-boko-haram-sets-ablaze-300-vehicles.html,http://www.swissinfo.ch/eng/news/international/Clashes_between_Nigerian_army_and_Boko_Haram_kill_18.html?cid=36696936,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10913675&ref=rss,,,"Damboa, Borno, Nigeria"
1540,"Gunmen kill three policemen, sack police station",8/19/2013,Kajuru,,Kaduna,3.0,,,,Other Armed Actor,,,,,,,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/kaduna-gunmen-kill-three-policemen-sack-police-station/,,,,,", Kaduna, Nigeria"
1547,13 killed in Nigeria Boko Haram attacks,8/21/2013,Gwoza,Gwoza,Borno,9.0,Boko Haram,State Actor,,,,,,,,7.0,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://news.xinhuanet.com/english/africa/2013-08/22/c_132651577.htm,,,,,"Gwoza, Borno, Nigeria"
1561,Nasarawa Assembly shut indefinitely following attack on lawmakers,8/27/2013,Lafia,,Nasarawa,0.0,,,Sectarian Actor,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/143595-breaking-nasarawa-assembly-shut-indefinitely-following-attack-on-lawmakers.html?utm_source=rss&utm_medium=rss&utm_campaign=breaking-nasarawa-assembly-shut-indefinitely-following-attack-on-lawmakers,http://www.punchng.com/news/nasarawa-assembly-shut-as-youths-attack-lawmakers/,,,,", Nasarawa, Nigeria"
1583,Militants Kill 15,9/4/2013,Gajiram,Nganzai,Borno,15.0,Boko Haram,,,,,,,,,,,,,,,,,,15.0,,,,Gun,,,,,,Government Building,,,,,,"disguised themselves as traders, started killing at random",http://thepeninsulaqatar.com/international/252067-nigerian-militant-attacks-kill-20-in-northeast-.html,,,,,"Nganzai, Borno, Nigeria"
1591,"Gunmen sack police station, kill 2 policemen in Adamawa",9/11/2013,Lala,Gombi,Adamawa,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/144571-gunmen-sack-police-station-kill-2-policemen-in-adamawa.html?utm_source=rss&utm_medium=rss&utm_campaign=gunmen-sack-police-station-kill-2-policemen-in-adamawa,,,,,"Gombi, Adamawa, Nigeria"
1593,50 more feared killed in Nasarawa,9/14/2013,Obi,Obi,Nasarawa,50.0,,,Sectarian Actor,,,,,,,,,,,,,,,,50.0,,,,,,,,,,Government Building,,,,,,Ombatse cult,http://sunnewsonline.com/new/cover/ombatse-50-more-feared-killed-in-nasarawa/,http://premiumtimesng.com/news/144695-nasarawa-violence-scores-killed-houses-razed-30000-displaced.html?utm_source=rss&utm_medium=rss&utm_campaign=nasarawa-violence-scores-killed-houses-razed-30000-displaced,,,,"Obi, Nasarawa, Nigeria"
1601,"Boko Haram insurgents in military khaki kill 23, burn scores of houses, vehicles in Borno village",9/16/2013,Benisheik,Kaga,Borno,161.0,Boko Haram,,,,,,,,,,5.0,,,,,,,,156.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/144864-boko-haram-insurgents-in-military-khaki-kill-23-burn-scores-of-houses-vehicles-in-borno-village.html?utm_source=rss&utm_medium=rss&utm_campaign=boko-haram-insurgents-in-military-khaki-kill-23-burn-scores-of-houses-vehicles-in-borno-village,http://ngrguardiannews.com/national-news/133202-gunmen-kill-18-in-borno,http://www.nigeriaintel.com/2013/09/20/benisheik-attack-death-toll-now-161/,,,"Kaga, Borno, Nigeria"
1606,Nigerian Army kills nine Boko Haram members in shootout,9/18/2013,Buni Yadi,Gujba,Yobe,11.0,Boko Haram,State Actor,,,,,,,,9.0,1.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/144984-nigerian-army-kills-nine-boko-haram-members-shootout.html?utm_source=rss&utm_medium=rss&utm_campaign=nigerian-army-kills-nine-boko-haram-members-shootout,http://www.foxnews.com/world/2013/09/19/insurgents-in-deadly-rampage-in-northeast-nigeria-town/,,,,"Gujba, Yobe, Nigeria"
1621,Gunmen kill students as they sleep in Nigerian college,9/29/2013,Gujba,,Yobe,90.0,Boko Haram,,,,,,,,,,,,,,,,,,90.0,,,,Gun,,,,,,Government Building,,,,,,,http://english.cntv.cn/20130930/100675.shtml,http://news.yahoo.com/gunmen-kill-students-sleep-nigerian-college-070442089.html,http://www.punchng.com/news/yobe-killings-death-toll-rises-to-90/,,,", Yobe, Nigeria"
1631,"20 Killed as Boko Haram, Nigerian Troops Clash",10/5/2013,Damboa,Damboa,Borno,22.0,Boko Haram,State Actor,,,,,,,,15.0,,,,,,,,,7.0,,,,Gun,,,,,,Government Building,,Mosque,,,,,http://news.sudanvisiondaily.com/details.html?rsnpid=227769,http://timesofindia.indiatimes.com/world/rest-of-world/Extremists-kill-seven-civilians-in-Nigerian-mosque/articleshow/23675643.cms,,,,"Damboa, Borno, Nigeria"
1652,Traditional ruler escapes death as hoodlums raze palace,10/20/2013,,Olorunda,Osun,0.0,,,Sectarian Actor,,,,,,,,,0.0,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/traditional-ruler-escapes-death-as-hoodlums-raze-palace/,,,,#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Olorunda, Osun, Nigeria"
1657,Militant claim of explosion at Nigerian oil refinery unlikely to lead to targeted campaign,10/22/2013,Warri,,Delta,0.0,,,Sectarian Actor,,,,,,,,,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.janes.com/article/28796/militant-claim-of-explosion-at-nigerian-oil-refinery-unlikely-to-lead-to-targeted-campaign?from_rss=1,,,,,", Delta, Nigeria"
1660,Boko Haram Strikes In Yobe Following Curfew Review,10/24/2013,Damaturu,,Yobe,128.0,Boko Haram,State Actor,,,,,,,,95.0,31.0,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.channelstv.com/home/2013/10/25/boko-haram-strikes-in-yobe-following-curfew-review/,http://www.punchng.com/news/scores-feared-dead-as-bharam-attacks-yobe-police-station/,http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/international/29-Oct-2013/35-bodies-at-nigeria-morgue-after-militants-raid,,,", Yobe, Nigeria"
1682,"Police inspector, driver killed in Ogun communal clash",11/6/2013,Oke-Odan,Yewa South,Ogun,2.0,,State Actor,Sectarian Actor,,,,,,,,1.0,1.0,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/police-inspector-driver-killed-in-ogun-communal-clash/,,,,,"Yewa South, Ogun, Nigeria"
1687,"Gunmen attack police station, kill 3 policemen, one other",11/11/2013,,Adavi,Kogi,3.0,,,,Other Armed Actor,,,,,,,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.naijahidi.org/reports/view/1071,,,,,"Adavi, Kogi, Nigeria"
1688,Hoodlums raze Zamfara police station to free cows,11/14/2013,Dansadau,,Zamfara,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://www.punchng.com/news/hoodlums-raze-zamfara-police-station-to-free-cows/,,,,,", Zamfara, Nigeria"
1696,BH Police Battle in Gombe,11/18/2013,,Gombe,Gombe,4.0,Boko Haram,State Actor,,,,,,,,3.0,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://news.yahoo.com/gunmen-kill-police-officer-northern-nigeria-111020346.html,,,,,"Gombe, Gombe, Nigeria"
1721,BH Launch Attack,12/2/2013,,Maiduguri,Borno,27.0,Boko Haram,State Actor,,,,,,,,25.0,0.0,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,,,,,http://www.voanews.com/content/nigeria-imposes-curfew-after-suspected-boko-haram-attack/1801572.html,http://www.reuters.com/article/2013/12/02/us-nigeria-violence-idUSBRE9B108K20131202?feedType=RSS&feedName=worldNews,http://www.nigeriaintel.com/2013/12/02/boko-haram-incapacitates-five-military-aircraft-soldiers-kill-24-insurgents-dhq/,,,"Maiduguri, Borno, Nigeria"
1734,Police Kill Rebelious Youth,12/13/2013,Warra,Ngaski,Kebbi,2.0,,State Actor,,,,,,,,,,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/regional/151451-two-killed-nigeria-police-youth-clash-kebbi.html?utm_source=rss&utm_medium=rss&utm_campaign=two-killed-nigeria-police-youth-clash-kebbi,,,,,"Ngaski, Kebbi, Nigeria"
1741,HB Attacks Barracks,12/15/2013,Bama,Bama,Borno,70.0,Boko Haram,State Actor,,,,,,,,50.0,15.0,,,,,,,,5.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,,http://hotnewsinternational.com/2013/12/20/suspected-militants-attack-nigeria-military-base/,http://www.thestar.com.my/News/World/2013/12/21/Nigerian-Islamists-attack-barracks-in-volatile-northeast--army.aspx/,http://news.xinhuanet.com/english/africa/2013-12/24/c_132990359.htm,,,"Bama, Borno, Nigeria"
1745,Bomb Scare at Deputy's House,12/17/2013,,,Rivers,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/tension-over-bomb-scare-in-rivers-deputy-gov-office/,,,,,", Rivers, Nigeria"
1777,"Fresh explosion rocks Maiduguri, at least 30 killed",1/14/2014,Maiduguri,Maiduguri,Borno,43.0,Boko Haram,,,,,,,,,,,,,,,,,,43.0,,,,,,Suicide Bombing,,,,Government Building,,,,,,,http://news2.onlinenigeria.com/news/top-stories/330553-fresh-explosion-rocks-maiduguri-many-killed.html,http://thepeninsulaqatar.com/news/international/268430/car-bomb-kills-29-in-nigeria-islamist-hub,http://www.nigeriaintel.com/2014/01/15/dozens-killed-scores-injured-in-sallah-day-suicide-bombing/,http://premiumtimesng.com/politics/153429-maiduguri-blast-hospital-sources-put-death-toll-43-governor-shettima-weeps.html?utm_source=rss&utm_medium=rss&utm_campaign=maiduguri-blast-hospital-sources-put-death-toll-43-governor-shettima-weeps,,"Maiduguri, Borno, Nigeria"
1811,"Boko Haram sacks Bauchi police station, frees suspect",1/30/2014,,Giade,Bauchi,,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,BH attack police station,http://www.punchng.com/news/boko-haram-sacks-bauchi-police-station-free-suspect/,,,,,"Giade, Bauchi, Nigeria"
1818,"Gunmen attack Bauchi police station, injure officer",2/3/2014,Soro,Ganjuwa,Bauchi,2.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/gunmen-kill-policeman-son-in-bauchi/,,,,,"Ganjuwa, Bauchi, Nigeria"
1822,Aba residents condemn soldiers invasion of police area command,2/3/2014,Aba,,Abia,0.0,,State Actor,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Government Building,,,,,,Soldiers fighting police,http://sunnewsonline.com/new/cover/aba-residents-condemn-soldiers-invasion-police-area-command/,,,,,", Abia, Nigeria"
1841,Men attacked by anti-gay mob in Nigeria,2/13/2014,Abuja,,Federal Capital Territory,0.0,,State Actor,Sectarian Actor,,,,,,,,,0.0,,,,,,,,,,,,,,Other,,,Government Building,,,,,,mob including policemen attacked gay men,http://www.washingtonpost.com/world/africa/men-attacked-by-anti-gay-mob-in-nigeria/2014/02/15/1c313e5c-967e-11e3-9616-d367fa6ea99b_story.html?wprss=rss_homepage,,,,,", Federal Capital Territory, Nigeria"
1852,Suspected Boko Haram Islamists Bomb Nigeria Town,2/19/2014,Bama,Bama,Borno,198.0,Boko Haram,State Actor,,,,,,,,,,,,,,,,,198.0,,,Bomb,Gun,,Suicide Bombing,,,,Government Building,,,,School,Other,,http://www.naharnet.com/stories/en/119403-suspected-boko-haram-islamists-bomb-nigeria-town,http://www.apanews.net/news/en/article.php?id=508677,http://www.japantoday.com/category/world/view/115-killed-1500-buildings-razed-in-nigerian-town,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Bama, Borno, Nigeria"
1853,Gunmen abduct EFCC suspect in Lagos court,2/20/2014,Lagos,Lagos State,Lagos,0.0,,,,Other Armed Actor,,,,,,,,,,,,,,,0.0,,,,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/gunmen-abduct-efcc-suspect-in-lagos-court/,http://saharareporters.com/press-release/efcc-press-release-gunmen-abducts-efccs-suspect-within-lagos-court-premises,,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Lagos State, Lagos, Nigeria"
1864,"B’Haram kills 4, razes banks in Michika",2/26/2014,Michika,Michika,Adamawa,4.0,Boko Haram,,,,,,,,,,3.0,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://www.punchng.com/news/bharam-kills-nine-razes-banks-in-adamawa-attack/,http://reliefweb.int/report/nigeria/boko-haram-attacks-kill-37-including-christian-college,,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Michika, Adamawa, Nigeria"
1866,"Boko Haram kills 25 in Shuwa, Madagli",2/26/2014,Shuwa,Madagali,Adamawa,25.0,Boko Haram,,,,,,,,,,,,,,,,,,25.0,,,Bomb,Gun,,,,,,Government Building,Church,,Bank,School,,,http://www.punchng.com/news/bharam-kills-nine-razes-banks-in-adamawa-attack/,http://www.charlotteobserver.com/2014/02/27/4727260/soldiers-flee-13-die-in-attacks.html#.Uw9lfvRdUxY,http://reliefweb.int/report/nigeria/boko-haram-attacks-kill-37-including-christian-college,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Madagali, Adamawa, Nigeria"
1877,Bloodbath continues as Boko Haram kills 36,3/2/2014,Mafa,Mafa,Borno,36.0,Boko Haram,State Actor,,,,,,,,,3.0,,,,,,,,33.0,,,Bomb,Gun,,,,,,Government Building,,Mosque,,,,,http://www.punchng.com/news/bloodbath-continues-as-boko-haram-kills-35/,http://www.punchng.com/news/boko-haram-raids-borno-community-kills-29/,http://www.vanguardngr.com/2014/03/scores-killed-boko-haram-attacks-jakana-borno/,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Mafa, Borno, Nigeria"
1889,50 gunmen attack Enugu govt house,3/8/2014,Enugu,Enugu North,Enugu,1.0,,State Actor,Sectarian Actor,,,,,,,,,1.0,,,,,,,,,,,Gun,Machete,,,,,Government Building,,,,,,Biafran Zionists claimed responsibility,http://www.premiumtimesng.com/news/156386-one-killed-3-injured-as-50-armed-men-attack-enugu-govt-house.html?utm_source=rss&utm_medium=rss&utm_campaign=one-killed-3-injured-as-50-armed-men-attack-enugu-govt-house,http://www.punchng.com/news/50-gunmen-attack-enugu-govt-house/,http://saharareporters.com/news-page/biafran-zionists-claim-responsibility-attack-enugu-govt-house-thisday-newspaper,6.448109,7.520356,"Enugu North, Enugu, Nigeria"
1904,"Suspected extremists attack main barracks in north Nigerian city of Maiduguri, residents flee",3/14/2014,Maiduguri,Maiduguri,Borno,500.0,Boko Haram,State Actor,,,,,,,,195.0,5.0,,,,,,,,300.0,,,Bomb,Gun,,,,,,Government Building,,,,,,"BH attempted a prison break; 500 break-down is a guess, but the majority of those killed were detainees at the prison; ""Other"" victims were detainees imprisoned ""on flimsy or no charges""",http://saharareporters.com/news-page/207-boko-haram-militants-killed-maiduguri-attack-says-civilian-jtf-premium-times,http://www.reuters.com/article/2014/03/14/us-nigeria-violence-idUSBREA2D0DM20140314?feedType=RSS&feedName=worldNews,http://www.smh.com.au/world/death-toll-from-nigerian-prison-break-over-500-20140321-hvl3p.html,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Maiduguri, Borno, Nigeria"
